ID (REMOVE),SYMBOL,REW (Convert to Numbers),HGNC approved name,Pfam domains,HGNC gene family tag,HGNC gene family description,Function,Modification,Protein complex,Target molecule,Target entity,Product
221656,C6orf193,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
221656,AOF1,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
221656,DJ298J15.2,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
221656,FLJ33898,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
221656,FLJ34109,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
221656,FLJ43328,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
221656,BA204B7.3,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
10919,EHMT2,Reader,euchromatic histone-lysine N-methyltransferase 2,"Ank PF00023 684-716 717-748 750-783 784-816 818-849 850-882, Pfam-B_9355 PB009355 34-359, Pre-SET PF05033 925-1030, SET PF00856 1049-1155","KMT, ANKRD","Chromatin-modifying enzymes / K-methyltransferases, Ankyrin repeat domain containing",Histone modification write,Histone methylation,#,histone,H3K9,"H3K9me1, H3K9me2"
54737,MPHOSPH8,Reader,M-phase phosphoprotein 8,"Ank_2 PF12796 570-664 647-730, Chromo PF00385 59-109",ANKRD,Ankyrin repeat domain containing,Histone modification read,#,#,histone,"H3K9me3, H3K9me2",#
79813,EHMT1,Reader,euchromatic histone-lysine N-methyltransferase 1,"Ank_2 PF12796 742-836 810-903 910-998, Ank_4 PF13637 773-826 839-893, Pfam-B_28560 PB028560 1-98, Pre-SET PF05033 1013-1118, SET PF00856 1137-1243","KMT, ANKRD","Chromatin-modifying enzymes / K-methyltransferases, Ankyrin repeat domain containing",Histone modification write,Histone methylation,#,histone,H3K9,"H3K9me1, H3K9me2"
9759,HDAC4,Eraser,histone deacetylase 4,"Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-993",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
9759,HD4,Eraser,histone deacetylase 4,"Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-993",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
9759,HDAC-4,Eraser,histone deacetylase 5,"Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-994",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
9759,HDAC-A,Eraser,histone deacetylase 6,"Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-995",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
9759,HDACA,Eraser,histone deacetylase 8,"Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-997",#,#,Histone modification erase,Histone acetylation,#,histone,"H2AKac, H2BKac, H3Kac, H4Kac","H2AK, H2BK, H3K, H4K"
8284,KDM5D,Eraser,lysine (K)-specific demethylase 5D,"ARID PF01388 76-165, JmjC PF02373 491-607, JmjN PF02375 15-48, PHD PF00628 316-364 1174-1237, PLU-1 PF08429 761-1087, Pfam-B_12821 PB012821 1401-1443, zf-C5HC2 PF02928 697-750","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me2",H3K4
8284,HY,Eraser,lysine (K)-specific demethylase 5D,"ARID PF01388 76-165, JmjC PF02373 491-607, JmjN PF02375 15-48, PHD PF00628 316-364 1174-1237, PLU-1 PF08429 761-1087, Pfam-B_12821 PB012821 1401-1443, zf-C5HC2 PF02928 697-750","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me2",H3K4
8284,HYA,Eraser,lysine (K)-specific demethylase 5D,"ARID PF01388 76-165, JmjC PF02373 491-607, JmjN PF02375 15-48, PHD PF00628 316-364 1174-1237, PLU-1 PF08429 761-1087, Pfam-B_12821 PB012821 1401-1443, zf-C5HC2 PF02928 697-751","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me3",H3K5
8284,JARID1D,Eraser,lysine (K)-specific demethylase 5D,"ARID PF01388 76-165, JmjC PF02373 491-607, JmjN PF02375 15-48, PHD PF00628 316-364 1174-1237, PLU-1 PF08429 761-1087, Pfam-B_12821 PB012821 1401-1443, zf-C5HC2 PF02928 697-752","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me4",H3K6
8284,SMCY,Eraser,lysine (K)-specific demethylase 5D,"ARID PF01388 76-165, JmjC PF02373 491-607, JmjN PF02375 15-48, PHD PF00628 316-364 1174-1237, PLU-1 PF08429 761-1087, Pfam-B_12821 PB012821 1401-1443, zf-C5HC2 PF02928 697-753","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me5",H3K7
8242,KDM5C,Reader,lysine (K)-specific demethylase 5C,"ARID PF01388 76-165, JmjC PF02373 501-617, JmjN PF02375 15-48, PHD PF00628 326-374 1187-1250, PLU-1 PF08429 771-1100, Pfam-B_12821 PB012821 1417-1482, zf-C5HC2 PF02928 707-760","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,H3K4me3,"H3K4me2, H3K4me1"
5927,KDM5A,Reader,lysine (K)-specific demethylase 5A,"ARID PF01388 81-170, JmjC PF02373 470-586, JmjN PF02375 20-53, PHD PF00628 295-343 1163-1218, PLU-1 PF08429 740-1072, zf-C5HC2 PF02928 676-729","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,H3K4me3,H3K4
10765,KDM5B,Reader,lysine (K)-specific demethylase 5B,"ARID PF01388 94-183, JmjC PF02373 486-602, JmjN PF02375 33-66, PHD PF00628 311-359 1178-1224 1486-1538, PLU-1 PF08429 756-1088, zf-C5HC2 PF02928 692-745","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,H3K4me3,H3K4
55870,ASH1L,Reader,"ash1 (absent, small, or homeotic)-like (Drosophila)","BAH PF01426 2661-2798, Bromodomain PF00439 2453-2538, PHD PF00628 2587-2631, Pfam-B_14208 PB014208 1818-1847, Pfam-B_18246 PB018246 2310-2419, Pfam-B_25586 PB025586 1473-1507, Pfam-B_4663 PB004663 1023-1054 1180-1377, Pfam-B_6310 PB006310 1509-1554, SET PF00856 2156-2261","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,H3K36,H3K36me
22893,BAHD1,Reader,bromo adjacent homology domain containing 1,BAH PF01426 623-779,#,#,Chromatin remodeling,#,#,histone,H3K27me3,#
83860,TAF3,Reader,"TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa","Bromo_TP PF07524 3-79, PHD PF00628 867-915",PHF,"Zinc fingers, PHD-type",Histone modification read,#,#,histone,H3K4me,#
2033,EP300,Reader,E1A binding protein p300,"Bromodomain PF00439 1058-1144, Creb_binding PF09030 1990-2099, DUF902 PF06001 1155-1196, KAT11 PF08214 1306-1612, KIX PF02172 566-646, Pfam-B_15526 PB015526 1-129, Pfam-B_817 PB000817 2317-2349, ZZ PF00569 1664-1705, zf-TAZ PF02135 336-416 1733-1806",KAT,Chromatin-modifying enzymes / K-acetyltransferases,Histone modification write,Histone acetylation,#,histone,"H2A, H2B, H3, H4",#
1387,CREBBP,Reader,CREB binding protein,"Bromodomain PF00439 1094-1180, Creb_binding PF09030 2016-2115, DUF902 PF06001 1191-1232, KAT11 PF08214 1342-1648, KIX PF02172 587-667, Pfam-B_2669 PB002669 2188-2217, Pfam-B_817 PB000817 2353-2401, ZZ PF00569 1701-1742, zf-TAZ PF02135 352-432 1770-1843",KAT,Chromatin-modifying enzymes / K-acetyltransferases,Histone modification write,Histone acetylation,#,histone,#,#
55023,PHIP,Reader,pleckstrin homology domain interacting protein,"Bromodomain PF00439 1165-1251 1325-1409, Pfam-B_15784 PB015784 743-864, Pfam-B_60538 PB060538 1-77, WD40 PF00400 174-211 215-253 257-298 355-393 456-495","WDR, DCAF","WD repeat domain containing, DDB1 and CUL4 associated factors",Histone modification read,#,#,histone,H3,#
54014,BRWD1,Reader,bromodomain and WD repeat domain containing 1,"Bromodomain PF00439 1166-1252 1322-1405, Pfam-B_18973 PB018973 859-924, Pfam-B_22078 PB022078 2089-2186, Pfam-B_27858 PB027858 1900-2087, Pfam-B_71 PB000071 2238-2318, Pfam-B_8184 PB008184 1821-1898, WD40 PF00400 177-214 218-256 260-302 358-396 458-497",WDR,WD repeat domain containing,Histone modification read,#,#,histone,H3,#
138474,TAF1L,Reader,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like","Bromodomain PF00439 1408-1491 1528-1614, DUF3591 PF12157 584-1047, Pfam-B_10720 PB010720 330-385, TBP-binding PF09247 21-86, zf-CCHC_6 PF15288 1280-1319",#,#,Histone modification read,#,#,histone,"H1.4ac, H2Aac, H2Bac, H3ac, H4ac",#
23613,ZMYND8,Reader,"zinc finger, MYND-type containing 8","Bromodomain PF00439 157-240, DUF3544 PF12064 412-622, PHD PF00628 90-133, PWWP PF00855 275-349, zf-MYND PF01753 1028-1062","ZMYND, PHF","Zinc fingers, MYND-type, “;Zinc fingers, PHD-type“;",Histone modification erase cofactor,Histone acetylation,#,histone,#,#
29994,BAZ2B,Reader,"bromodomain adjacent to zinc finger domain, 2B","Bromodomain PF00439 2069-2151, DDT PF02791 1087-1149, MBD PF01429 739-813, PHD PF00628 1933-1981, Pfam-B_10350 PB010350 521-649, Pfam-B_12038 PB012038 1200-1479, Pfam-B_13066 PB013066 91-399, Pfam-B_1587 PB001587 401-519, Pfam-B_17078 PB017078 1618-1728, Pfam-B_17427 PB017427 1-89, Pfam-B_9375 PB009375 1481-1616",PHF,"Zinc fingers, PHD-type",Histone modification read,#,#,"histone, DNA","H1.4ac, H2Aac, H2Bac, H3ac,  H4Kac",#
676,BRDT,Reader,"bromodomain, testis-specific","Bromodomain PF00439 36-121 276-364, Pfam-B_11430 PB011430 710-791",#,#,Histone modification read,#,#,histone,"H4K5ac, H4K8ac",#
8019,BRD3,Reader,bromodomain containing 3,Bromodomain PF00439 42-128 315-403,#,#,Histone modification read,#,#,histone,"H3K9me2, H3K14me2, H4K5ac, H4K12ac",#
23476,BRD4,Reader,bromodomain containing 4,"Bromodomain PF00439 67-152 357-445, Pfam-B_14896 PB014896 1187-1263, Pfam-B_15118 PB015118 509-647, Pfam-B_18611 PB018611 648-667, Pfam-B_24632 PB024632 833-892, Pfam-B_29595 PB029595 1283-1311, Pfam-B_35798 PB035798 1136-1185, Pfam-B_361 PB000361 1324-1357",#,#,Histone modification read,#,#,histone,"H3K9, H3K14, H4K5, H4K12",#
11262,SP140,Reader,SP140 nuclear body protein,"Bromodomain PF00439 775-842, PHD PF00628 692-736, SAND PF01342 580-661, Sp100 PF03172 36-139",PHF,"Zinc fingers, PHD-type","Histone modification read, TF",#,#,histone,H3,#
6046,BRD2,Reader,bromodomain containing 2,"Bromodomain PF00439 84-168 353-441, Pfam-B_12618 PB012618 624-776, Pfam-B_14336 PB014336 541-613",#,#,Histone modification read,#,#,histone,"H3K9me2, H3K14me2, H4K5ac, H4K12ac",#
8805,TRIM24,Reader,tripartite motif containing 24,"Bromodomain PF00439 908-992, PHD PF00628 828-873, Pfam-B_14213 PB014213 595-656, Pfam-B_4946 PB004946 372-591, zf-B_box PF00643 158-205 218-259","TRIM, RNF, PHF","Tripartite motif containing / Tripartite motif containing, RING-type (C3HC4) zinc fingers, Zinc fingers, PHD-type",Histone modification read,#,#,histone,"H3K4, H3K23ac",#
51592,TRIM33,Reader,tripartite motif containing 33,"Bromodomain PF00439 966-1051, PHD PF00628 889-933, Pfam-B_10963 PB010963 664-696, Pfam-B_11449 PB011449 608-663, Pfam-B_11628 PB011628 535-606, zf-B_box PF00643 212-258 271-312, zf-RING_2 PF13639 123-185","TRIM, PHF, RNF","Tripartite motif containing / Tripartite motif containing, Zinc fingers, PHD-type, RING-type (C3HC4) zinc fingers",Histone modification read,#,#,histone,"H3K9me3, H3K18ac",#
10498,CARM1,Writer,coactivator-associated arginine methyltransferase 1,"CARM1 PF11531 26-139, PRMT5 PF05185 143-446, Pfam-B_10255 PB010255 449-469, Pfam-B_13059 PB013059 511-606",PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H3R17,"H3R17me, H3R17me2a"
10498,PRMT4,Writer,coactivator-associated arginine methyltransferase 1,"CARM1 PF11531 26-139, PRMT5 PF05185 143-446, Pfam-B_10255 PB010255 449-469, Pfam-B_13059 PB013059 511-606",PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H3R17,"H3R17me, H3R17me2a"
10951,CBX1,Reader,chromobox homolog 1,"Chromo PF00385 21-70, Chromo_shadow PF01393 115-172",#,#,Histone modification read,#,#,histone,"H3K9me3, H3K27me3",#
1106,CHD2,Reader,chromodomain helicase DNA binding protein 2,"Chromo PF00385 261-344 378-447, DUF4208 PF13907 1455-1555, Helicase_C PF00271 825-905, Pfam-B_19320 PB019320 1231-1309, Pfam-B_761 PB000761 1111-1229, SNF2_N PF00176 487-768",#,#,Chromatin remodeling,#,#,DNA,#,#
1105,CHD1,Reader,chromodomain helicase DNA binding protein 1,"Chromo PF00385 273-355 389-443, DUF4208 PF13907 1400-1500, Helicase_C PF00271 822-902, Pfam-B_182 PB000182 1646-1708, Pfam-B_91833 PB091833 121-162, SNF2_N PF00176 484-765",#,#,Chromatin remodeling,#,#,DNA,#,#
79723,SUV39H2,Writer,suppressor of variegation 3-9 homolog 2 (Drosophila),"Chromo PF00385 47-96, Pre-SET PF05033 144-242, SET PF00856 262-373",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9me1,H3K9me3
9085,CDY1,Reader,"chromodomain protein, Y-linked, 1","Chromo PF00385 6-57, ECH PF00378 287-535, Pfam-B_51834 PB051834 101-148",#,#,Histone modification write,Histone acetylation,#,histone,H4,#
253175,CDY1B,Reader,"chromodomain protein, Y-linked, 1B","Chromo PF00385 6-57, ECH PF00378 287-535, Pfam-B_51834 PB051834 101-148",#,#,Histone modification write,Histone acetylation,#,histone,H4,#
203611,CDY2B,Reader,"chromodomain protein, Y-linked, 2B","Chromo PF00385 6-57, ECH PF00378 288-536, Pfam-B_51834 PB051834 101-149",#,#,Histone modification write,Histone acetylation,#,histone,#,#
9425,CDYL,Reader,"chromodomain protein, Y-like","Chromo PF00385 61-112, ECH PF00378 345-593, Pfam-B_14969 PB014969 136-234",#,#,Histone modification write,Histone acetylation,#,histone,H4,#
124359,CDYL2,Reader,"chromodomain protein, Y-like 2","Chromo PF00385 7-57, ECH PF00378 253-501",#,#,Histone modification read,#,#,histone,H3K9me3,#
79697,C14ORF169,Eraser,#,"Cupin_4 PF08007 215-557, Pfam-B_41208 PB041208 71-139, Pfam-B_47541 PB047541 1-69",#,#,Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me1, H3K36me2","H3K4me2, H3K4, H3K36me1"
79697,NO66,Eraser,#,"Cupin_4 PF08007 215-557, Pfam-B_41208 PB041208 71-139, Pfam-B_47541 PB047541 1-69",#,#,Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me1, H3K36me2","H3K4me2, H3K4, H3K36me1"
79697,JMJD9,Eraser,#,"Cupin_4 PF08007 215-557, Pfam-B_41208 PB041208 71-139, Pfam-B_47541 PB047541 1-70",#,#,Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me1, H3K36me3","H3K4me2, H3K4, H3K36me2"
79697,MAPJD,Eraser,#,"Cupin_4 PF08007 215-557, Pfam-B_41208 PB041208 71-139, Pfam-B_47541 PB047541 1-71",#,#,Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me1, H3K36me4","H3K4me2, H3K4, H3K36me3"
79697,RIOX1,Eraser,#,"Cupin_4 PF08007 215-557, Pfam-B_41208 PB041208 71-139, Pfam-B_47541 PB047541 1-72",#,#,Histone modification erase,Histone methylation,#,histone,"H3K4me3, H3K4me1, H3K36me5","H3K4me2, H3K4, H3K36me4"
84864,MINA,Eraser,MYC induced nuclear antigen,Cupin_4 PF08007 51-364,#,#,Histone modification erase,Histone methylation,#,histone,H3K9me3,H3K9
84864,JMJD10,Eraser,MYC induced nuclear antigen,Cupin_4 PF08007 51-364,#,#,Histone modification erase,Histone methylation,#,histone,H3K9me3,H3K9
84864,MDIG,Eraser,MYC induced nuclear antigen,Cupin_4 PF08007 51-364,#,#,Histone modification erase,Histone methylation,#,histone,H3K9me3,H3K9
84864,MINA53,Eraser,MYC induced nuclear antigen,Cupin_4 PF08007 51-364,#,#,Histone modification erase,Histone methylation,#,histone,H3K9me3,H3K9
84864,NO52,Eraser,MYC induced nuclear antigen,Cupin_4 PF08007 51-364,#,#,Histone modification erase,Histone methylation,#,histone,H3K9me3,H3K9
84864,RIOX2,Eraser,MYC induced nuclear antigen,Cupin_4 PF08007 51-364,#,#,Histone modification erase,Histone methylation,#,histone,H3K9me3,H3K9
79831,KDM8,Eraser,lysine (K)-specific demethylase 8,Cupin_8 PF13621 192-416,KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
79831,JMJD5,Eraser,lysine (K)-specific demethylase 8,Cupin_8 PF13621 192-416,KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,H3K36me2,H3K36
1789,DNMT3B,Reader,DNA (cytosine-5-)-methyltransferase 3 beta,"DNA_methylase PF00145 575-725, PWWP PF00855 223-308",#,#,DNA modification,DNA methylation,#,DNA,dhC,dhU
1788,DNMT3A,Reader,DNA (cytosine-5-)-methyltransferase 3 alpha,"DNA_methylase PF00145 634-776, PWWP PF00855 290-375",#,#,DNA modification,DNA methylation,#,DNA,dhC,dhU
84444,DOT1L,Writer,DOT1-like histone H3K79 methyltransferase,"DOT1 PF08123 115-317, Pfam-B_30738 PB030738 501-539",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K79,#
8648,NCOA1,Writer,nuclear receptor coactivator 1,"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
8648,BHLHE74,Writer,nuclear receptor coactivator 1,"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
8648,F-SRC-1,Writer,nuclear receptor coactivator 1,"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
8648,KAT13A,Writer,nuclear receptor coactivator 1,"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
8648,RIP160,Writer,nuclear receptor coactivator 1,"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
8648,SRC1,Writer,nuclear receptor coactivator 1,"DUF1518 PF07469 1149-1205 1212-1268, Nuc_rec_co-act PF08815 924-973, PAS PF00989 112-183, PAS_11 PF14598 259-370, SRC-1 PF08832 625-708","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,"H3, H4",#
8202,NCOA3,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
8202,ACTR,Writer,nuclear receptor coactivator 3,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704","KAT, bHLH","Chromatin-modifying enzymes / K-acetyltransferases, Basic helix-loop-helix proteins",Histone modification write,Histone acetylation,#,histone,#,#
